,date
0,1994-02-04
1,1994-03-22
2,1994-05-17
3,1994-07-06
4,1994-08-16
5,1994-09-27
6,1994-11-15
7,1994-12-20
8,1995-02-01
9,1995-03-28
10,1995-05-23
11,1995-07-06
12,1995-08-22
13,1995-09-26
14,1995-11-15
15,1995-12-19
16,1996-01-31
17,1996-03-26
18,1996-05-21
19,1996-07-03
20,1996-08-20
21,1996-09-24
22,1996-11-13
23,1996-12-17
24,1997-02-05
25,1997-03-25
26,1997-05-20
27,1997-07-02
28,1997-08-19
29,1997-09-30
30,1997-11-12
31,1997-12-16
32,1998-02-04
33,1998-03-31
34,1998-05-19
35,1998-07-01
36,1998-08-18
37,1998-09-29
38,1998-11-17
39,1998-12-22
40,1999-02-03
41,1999-03-30
42,1999-05-18
43,1999-06-30
44,1999-08-24
45,1999-10-05
46,1999-11-16
47,1999-12-21
48,2000-02-02
49,2000-03-21
50,2000-05-16
51,2000-06-28
52,2000-08-22
53,2000-10-03
54,2000-11-15
55,2000-12-19
56,2001-01-31
57,2001-03-20
58,2001-05-15
59,2001-06-27
60,2001-08-21
61,2001-10-02
62,2001-11-06
63,2001-12-11
64,2002-01-30
65,2002-03-19
66,2002-05-07
67,2002-06-26
68,2002-08-13
69,2002-09-24
70,2002-11-06
71,2002-12-10
72,2003-01-29
73,2003-03-18
74,2003-05-06
75,2003-06-25
76,2003-08-12
77,2003-09-15
78,2003-09-16
79,2003-10-28
80,2003-12-09
81,2004-01-28
82,2004-03-16
83,2004-05-04
84,2004-06-30
85,2004-08-10
86,2004-09-21
87,2004-11-10
88,2004-12-14
89,2005-02-02
90,2005-03-22
91,2005-05-03
92,2005-06-30
93,2005-08-09
94,2005-09-20
95,2005-11-01
96,2005-12-13
97,2006-01-31
98,2006-03-28
99,2006-05-10
100,2006-06-29
101,2006-08-08
102,2006-09-20
103,2006-10-25
104,2006-12-12
105,2007-01-31
106,2007-03-21
107,2007-05-09
108,2007-06-28
109,2007-08-07
110,2007-09-18
111,2007-10-31
112,2007-12-11
113,2008-01-30
114,2008-03-18
115,2008-04-30
116,2008-06-25
117,2008-08-05
118,2008-09-16
119,2008-10-29
120,2008-12-16
121,2009-01-28
122,2009-03-18
123,2009-04-29
124,2009-06-24
125,2009-08-12
126,2009-09-23
127,2009-11-04
128,2009-12-16
129,2010-01-27
130,2010-03-16
131,2010-04-28
132,2010-06-23
133,2010-08-10
134,2010-09-21
135,2010-11-03
136,2010-12-14
137,2011-01-26
138,2011-03-15
139,2011-04-27
140,2011-06-22
141,2011-08-09
142,2011-09-21
143,2011-11-02
144,2011-12-13
145,2012-01-25
146,2012-03-13
147,2012-04-25
148,2012-06-20
149,2012-08-01
150,2012-09-13
151,2012-10-24
152,2012-12-12
153,2013-01-30
154,2013-03-20
155,2013-05-01
156,2013-06-19
157,2013-07-31
158,2013-09-18
159,2013-10-30
160,2013-12-18
161,2014-01-29
162,2014-03-19
163,2014-04-30
164,2014-06-18
165,2014-07-30
166,2014-09-17
167,2014-10-29
168,2014-12-17
169,2015-01-28
170,2015-03-18
171,2015-04-29
172,2015-06-17
173,2015-07-29
174,2015-09-17
175,2015-10-28
176,2015-12-16
177,2016-01-27
178,2016-03-16
179,2016-04-27
180,2016-06-15
181,2016-07-27
182,2016-09-21
183,2016-11-02
184,2016-12-14
185,2017-02-01
186,2017-03-15
187,2017-05-03
188,2017-06-14
189,2017-07-26
190,2017-09-20
191,2017-11-01
192,2017-12-13
193,2023-02-01
194,2023-03-22
195,2023-05-03
196,2023-06-14
197,2023-07-26
198,2023-09-20
201,2022-01-26
202,2022-03-16
203,2022-05-04
204,2022-06-15
205,2022-07-27
206,2022-09-21
207,2022-11-02
208,2022-12-14
209,2021-01-27
210,2021-03-17
211,2021-04-28
212,2021-06-16
213,2021-07-28
214,2021-09-22
215,2021-11-03
216,2021-12-15
217,2020-01-29
218,2020-03-03
219,2020-03-15
220,2020-03-18
221,2020-03-19
222,2020-03-23
223,2020-03-31
224,2020-04-29
225,2020-06-10
226,2020-07-29
227,2020-08-27
228,2020-09-16
229,2020-11-05
230,2020-12-16
231,2019-01-30
232,2019-03-20
233,2019-05-01
234,2019-06-19
235,2019-07-31
236,2019-09-18
237,2019-10-04
238,2019-10-30
239,2019-12-11
240,2018-01-31
241,2018-03-21
242,2018-05-02
243,2018-06-13
244,2018-08-01
245,2018-09-26
246,2018-11-08
247,2018-12-19
